platform,text,user_id,total_interactions_count,statistics,username,statuses_count,followers_count,friends_count,favourites_count,media_count,user_created_at,user_description,conversation_id_str,created_at,profile_url,post_url,location,sentiment,sentiment_target,sentiment_reason,emotion,country,country_reason,country_code,country_geo,account_type,account_type_reason,media_url,error
twitter,"場末で親の時にチーテンでこんな和了をしたらおじいちゃんが

「た、たかいちーさなえ！！」

とか言ってるから日本まだまだ平和だわ。 https://t.co/luaOllWxCl",118214213,357,"{'quote_count': 7, 'retweet_count': 22, 'like_count': 316, 'reply_count': 12, 'view_count': '53195'}",338787338787833,29192.0,5335.0,5611.0,192454.0,2674.0,Sat Feb 27 23:37:47 +0000 2010,アイコンは近代麻雀『雀荘であった本当の話』で麻雀ブロガーとしてインタビューを受けた時のもの。麻雀note！https://t.co/e24G4lvfi2　You Tube場末チャンネルやってます。是非ともチャンネル登録お願いします！,1981862112889892974,2025-10-24 23:15:23,https://pbs.twimg.com/profile_images/1366184240623288323/4z7sCTah_normal.jpg,https://twitter.com/338787338787833/status/1981862112889892974,,neutral,高市早苗及其政治立场,"The post mentions 高市早苗 indirectly by using a pun on her name in a humorous context related to mahjong, implying a lighthearted and peaceful sentiment. It reflects a neutral to slightly positive tone towards her, emphasizing peace in Japan rather than political stance.",happiness,Japan,Japanese language and cultural references.,jp,"[36.0, 138.0]",Individual,"The account description references personal activities like blogging, YouTube channel, and interviews, indicating a personal individual presence.",https://pbs.twimg.com/media/G4D9FsdXgAAgJdQ.jpg,
twitter,"もこまる「たかいち」

わたし「さなえ」

もこまる「さなえね」 https://t.co/qw4n1gK2wX",2524371602,63,"{'quote_count': 0, 'retweet_count': 1, 'like_count': 62, 'reply_count': 0, 'view_count': '2490'}",NONTAKOchu,35088.0,8853.0,3628.0,71474.0,2907.0,Mon May 26 07:12:41 +0000 2014,"ニコニコ生放送が大好きです(ゝ◉・。)🌟
🟠niconico Live │ • ▲・│📡⚡️▶︎ https://t.co/DqaUTGjLNW 
🟡Twitter sub 👻▶︎ @NONTAKOsub 
🟠NICOBO友達紹介コード( ⦿ • ⦿ )🤝▶︎ 00078493-1",2025426043109343252,2026-02-22 04:22:53,https://pbs.twimg.com/profile_images/1584335141971062784/pZvz9QKO_normal.jpg,https://twitter.com/NONTAKOchu/status/2025426043109343252,きときとやま🐟,irrelevant,高市早苗及其政治立场,The post uses the name 'たかいち' and 'さなえ' in a playful conversational manner without clear political context or stance. It does not express any sentiment towards 高市早苗 or her political position.,irrelevant,Japan,Japanese language and platform references.,jp,"[36.0, 138.0]",Individual,"The user shares personal interests and friend codes, typical of an individual user rather than an organization.",https://pbs.twimg.com/amplify_video_thumb/2025426024864120835/img/T5PMeMyOpGzbJWFc.jpg,
twitter,"@24newseveryday 「100％を目指していきたい強い思いがある」。
とたかいちはーん
3年前とかじゃねーぞ
1週間前くらいやぞ
説明責任とかのレベルではない
流石ラウンジさなえ",768134102553759744,42,"{'quote_count': 0, 'retweet_count': 3, 'like_count': 39, 'reply_count': 0, 'view_count': '2899'}",iF7g6mFFae5QBSN,191907.0,3309.0,7501.0,308250.0,1750.0,Tue Aug 23 17:13:36 +0000 2016,"なで肩門下
世間のwhisperを観察
初心者ですので、ルールに無作法です。
お許しください。
現世では常識にとらわれてはいけない気がする
フォロー、リツイート、ファボは必ずしも賛意ではないです
またぎのもみじちゃん推し
戦う民主主義
保守リベラルを志向
定員満員に付きフォローバックできないですがリストには入れてます",2022163320397255046,2026-02-13 16:38:51,https://pbs.twimg.com/profile_images/1555952752928256001/xjaBKxBA_normal.jpg,https://twitter.com/iF7g6mFFae5QBSN/status/2022349764357198192,おとめ座超銀河団,negative,高市早苗及其政治立场,"The post references 高市早苗 with a critical tone, mentioning a recent event and implying a lack of sufficient explanation or responsibility. The phrase '流石ラウンジさなえ' suggests sarcasm or criticism. Overall, it expresses a negative sentiment towards her political stance or actions.",anger,Japan,"The user mentions observing whispers and being a beginner, with a photo taken at a shrine in Nagano, Japan.",jp,"[36.0, 138.0]",Individual,The user description suggests personal observations and interests in democracy and historical sites.,,
twitter,"@max358japan SANAE さなえ　たかいち 
SATSUKI さつき　かたやま 
KIMI  きみ　　おのだ  
昭和100年　戦後80年　の令和の政治舞台に 現れ出でたる3人の女性政治家たち。 
 ”戦狼”から日本を防衛した歴史を後世の人々は 
『令和の女戦士　ＳＳＫ』と呼ぶことになる。 https://t.co/c26tFZsTUL",1842913160355004416,35,"{'quote_count': 0, 'retweet_count': 2, 'like_count': 33, 'reply_count': 0, 'view_count': '5526'}",Love_Piano_Man,557.0,52.0,143.0,921.0,75.0,Sun Oct 06 13:02:18 +0000 2024,"日本の安全保障を基軸に、国内外の「波」を継続観測。
Observing domestic and global waves from Japan’s security perspective.
Lens: Observer OS v1.2.3.",1992563785496748048,2025-11-23 14:05:57,https://pbs.twimg.com/profile_images/1992762095377735680/ThVVJDcK_normal.jpg,https://twitter.com/Love_Piano_Man/status/1992595478186426868,,positive,高市早苗及其政治立场,"The post praises 高市早苗 as one of three female politicians defending Japan, calling them '令和の女戦士' (Reiwa female warriors). This is a positive and respectful portrayal of her political stance as a defender of Japan's security.",happiness,Japan,Explicit mention of Japan’s security perspective.,jp,"[36.0, 138.0]",Unknown,"The description is vague and abstract, focusing on security observation without clear personal or organizational identity.",https://pbs.twimg.com/media/G6cfBQrbUAAtZ5w.jpg,
twitter,"それでは聞いてください、「かみのくに」

▼歌詞：
いだいなる　ぶんせんめい　そして　マザームーンがつげる
『にほんはせいかつすいじゅんを　さんぶんのいちにへらし、ぜいきんをよんばい、ごばいにしてでも、ぐんじりょくを　ぞうきょうしてゆかねばならない』

さあこのにほんをつくりかえよう　かみのくにへと
おとうさま　おかあさま　にほんははんせいします

たかいちさなえさん　ぐんじひ　あげてくれてありがとう
これからにほんは　ぶきをうって　つかって　もうけます
かぶぬしさん　よろしくおねがいします
たとえにほんじんじゃなくても　おカネがせかいをつなぐから

きはらみのるさん　きょういくちょくごだいすき　てんのうのためにこくみんはいのちをささげなさい
にほんじんは　くにのために　いのちをささげなさい
じぶんのじんせいなんて　くにのためにしぬことより　だいじでしょうか？
おくにのために　しぬるかくご　ちをながすことは　こくみんのぎむなのです

じんけんなんていらないでしょう
あなたはそんなもの　ふだんかんがえたこともないのだから
じんけんなんていらないでしょう
われわれが　あなたのじんせいを　よりよくつかってさしあげますから

はぎゅうだこういちさん　とういつきょうかいの　おとうさま　おかあさまに　ちかいをささげた　りっぱなひと
とういつきょうかいのみかた　とういつきょうかいのだいべんしゃ
はぎゅうだこういちさん　このくにを　かみさまのくににかえると　あつくかたったあのひ

こばやしたかゆきさん　とういつきょうかいのきょうりょくしゃ
「じみんとうの　こっかいぎいんとして　まことのかていうんどうをすいしんできるように　みなさんといっしょにがんばります」
いほうけんきんも　しかたない　このくにを　かみさまのくににかえるためならば

さあこのにほんをつくりかえよう　かみのくにへと
おとうさま　おかあさま　にほんははんせいします

じんけんなんていらないでしょう
あなたはそんなもの　ふだんかんがえたこともないのだから
じんけんなんていらないでしょう
われわれが　あなたのじんせいを　よりよくつかってさしあげますから

きんきゅうじたいせんげん　だしたいな　えいえんに　けんりょくのざに　すわりたい
きんきゅうじたいせんげん　びょうきでも　せんそうでも　なんでもいいわ
どれも　こうつごう

みんなしらない　みんなきょうみない
みんなりかいできない　みんなよろこんでる

いつわりのカミにつかえるひとびとにのっとられた党
いつわりのカミにつかえるひとびとにのっとられた党

＊著作権フリー",2149088604,50,"{'quote_count': 4, 'retweet_count': 15, 'like_count': 30, 'reply_count': 1, 'view_count': '20593'}",kazuma_maamaa,63283.0,45769.0,97.0,121477.0,7500.0,Tue Oct 22 13:57:09 +0000 2013,"2020年10月登録者1万人達成🥰8/2WIN5的中🎯45点270万🎯
IQ125・馬券で養育費を払う男・S63浜松生✨
スピ垢@spi_kazuma

ホスト、ヒモ、ホームレス、AVのAD（出演も）、風俗社員⇒寝具店店長⇒女癖悪く離婚⇒馬券生活😇⇒退行催眠専門の催眠療法士😊♥

結婚3回子ども4人😎❣️",2014609229873873243,2026-01-23 10:04:03,https://pbs.twimg.com/profile_images/1265055828547010560/hjW9dj7U_normal.jpg,https://twitter.com/kazuma_maamaa/status/2014640261364908435,さあ、勝ち馬を探そう😎✨,positive,高市早苗及其政治立场,"The post is a poetic and nationalistic praise of 高市早苗, thanking her for increasing military power and urging sacrifice for the nation. It reflects a strongly positive and supportive sentiment towards her political stance, emphasizing militarism and nationalism.",happiness,Japan,Japanese birthplace and cultural references.,jp,"[36.0, 138.0]",Individual,The detailed personal life story and multiple personal roles indicate a personal individual account.,https://pbs.twimg.com/amplify_video_thumb/2014640111615672324/img/-eHK06haSoA9jlcD.jpg,
twitter,"うちの娘(小1)は高市早苗さんが総理になったのが嬉しかった様子☺️

👩「新しい総理大臣が決まりました‼️ヒント。女性です。誰でしょう？」

🧒「えっとぉ‼️いち。。んー。たかいち‼️さなえ‼️さんっっ‼️」

👩「大正解です‼️」

🧒「やったぁ‼️女の人でなるの初めてなんでしょ？すごい。」",1327067685125951488,23,"{'quote_count': 0, 'retweet_count': 0, 'like_count': 22, 'reply_count': 1, 'view_count': '2653'}",MARS61044678,17909.0,3653.0,474.0,43710.0,349.0,Fri Nov 13 01:56:19 +0000 2020,毎日旦那の事を考えて生きてます🥰 旦那惚気🔞有🤤❤️旦那オンリーラブ💕旦那とは職場恋愛💑 仲良くなったと思うと勝手にタメ口なったりします💦すみません💦無言フォロー、いいね♡しますので宜しくです🙇‍♀️ #初婚(旦那)×#再婚(私)夫婦 #旦那の旦那だけを愛する妻垢,1980987117678583849,2025-10-22 13:18:28,https://pbs.twimg.com/profile_images/1327069800321798145/Qu0CY6E9_normal.jpg,https://twitter.com/MARS61044678/status/1980987117678583849,,positive,高市早苗及其政治立场,"The post shares a personal anecdote about the user's child being happy about 高市早苗 becoming prime minister, highlighting the historic nature of a female prime minister. The sentiment is clearly positive and hopeful towards her political position.",happiness,Japan,Japanese language and cultural context.,jp,"[36.0, 138.0]",Individual,"The account is focused on personal relationship and family life, typical of an individual user.",,
twitter,"☕歴代内閣総理大臣 初代〜第105代☕
【2026年2月18日 最新版】
〈歴代内閣総理大臣 読み方,出身地〉

［※出身地は、戦前は「出生地」を、戦後は「選挙区」を記載。戦後は「出生地」と異なる人物もいる。］

✅️伊藤 博文(いとう ひろぶみ)
〈山口県〉【1,5,7,10】

✅️黒田 清隆 (くろだ きよたか)
〈鹿児島県〉【2】  

✅️山県 有朋 (やまがた ありとも)
〈山口県〉【3,9】 

✅️松方 正義 (まつかた まさよし)
〈鹿児島県〉【4,6】 

✅️大隈 重信 (おおくま しげのぶ)
〈佐賀県〉【8,17】 

✅️桂 太郎(かつら たろう)
〈山口県〉【11,13,15】 

✅️西園寺 公望(さいおんじ きんもち)
〈京都府〉【12,14】

✅️山本 権兵衛（やまもと ごんべえ）
〈鹿児島県〉【16,22】

✅️寺内 正毅(てらうち まさたけ)
〈山口県〉【18】

✅️原 敬(はら たかし)
〈岩手県〉【19】

✅️高橋 是清(たかはし これきよ)
〈東京都〉【20】

✅️加藤 友三郎(かとう ともさぶろう)
〈広島県〉【21】

✅️清浦 奎吾(きようら けいご)
〈熊本県〉【23】

✅️加藤 高明(かとう たかあき)
〈愛知県〉【24】

✅️若槻 礼次郎(わかつき れいじろう)
〈島根県〉【25,28】

✅️田中 義一(たなか ぎいち)
〈山口県〉【26】

✅️浜口 雄幸(はまぐち おさち)
〈高知県〉【27】

✅️犬養 毅(いぬかい つよし)
〈岡山県〉【29】

✅️斎藤 実(さいとう まこと)
〈岩手県〉【30】

✅️岡田 啓介(おかだ けいすけ)
〈福井県〉【31】 

✅️広田 弘毅(ひろた こうき)
〈福岡県〉【32】

✅️林 銑十郎(はやし せんじゅうろう)
〈石川県〉【33】

✅️近衛 文麿(このえ ふみまろ)
〈東京都〉【34,38,39】

✅️平沼 騏一郎(ひらぬま きいちろう)
〈岡山県〉【35】

✅️阿部 信行(あべ のぶゆき)
〈石川県〉【36】

✅️米内 光政(よない みつまさ)
〈岩手県〉【37】

✅️東条 英機(とうじょう ひでき)
〈東京都〉【40】

✅️小磯 国昭(こいそ くにあき)
〈栃木県〉【41】 

✅️鈴木 貫太郎(すずき かんたろう)
〈大阪府〉【42】

---------▽〈戦後〉▽---------

✅️東久邇宮 稔彦(ひがしくにのみや なるひこ)
〈京都府〉【43】

✅️幣原 喜重郎(しではら きじゅうろう)〈大阪府〉【44】

✅️吉田 茂(よしだ しげる)
〈高知県〉【45,48,49,50,51】

✅️片山 哲(かたやま てつ)
〈神奈川県〉【46】

✅️芦田 均(あしだ ひとし)
〈京都府〉【47】

✅️鳩山 一郎(はとやま いちろう)
〈東京都〉【52,53,54】 

✅️石橋 湛山(いしばし たんざん)
〈静岡県〉【55】 

✅️岸 信介(きし のぶすけ)
〈山口県〉【56,57】 

✅️池田 勇人(いけだ はやと)
〈広島県〉【58,59,60】

✅️佐藤 栄作(さとう えいさく)
〈山口県〉【61,62,63】

✅️田中 角栄(たなか かくえい)
〈新潟県〉【64,65】

✅️三木 武夫(みき たけお) 
〈徳島県〉【66】 

✅️福田 赳夫(ふくだ たけお)
〈群馬県〉【67】 

✅️大平 正芳(おおひら まさよし)
〈香川県〉【68,69】

✅️鈴木 善幸(すずき ぜんこう)
〈岩手県〉【70】 

✅️中曽根 康弘(なかそね やすひろ)
〈群馬県〉【71,72,73】

✅️竹下 登(たけした のぼる)
〈島根県〉【74】

✅️宇野 宗佑(うの そうすけ)
〈滋賀県〉【75】

✅️海部 俊樹(かいふ としき)
〈愛知県〉【76,77】

✅️宮沢 喜一(みやざわ きいち)
〈広島県〉【78】 

✅️細川 護熙(ほそかわ もりひろ) 
〈熊本県〉【79】

✅️羽田 孜(はた つとむ) 
〈長野県〉【80】

✅️村山 富市(むらやま とみいち) 
〈大分県〉【81】

✅️橋本 龍太郎(はしもと りゅうたろう)
〈岡山県〉【82,83】

✅️小渕 恵三(おぶち けいぞう)
〈群馬県〉【84】 

✅️森 喜朗(もり よしろう)
〈石川県〉【85,86】

✅️小泉 純一郎(こいずみ じゅんいちろう)
〈神奈川県〉【87,88,89】 

✅️安倍 晋三(あべ しんぞう)
〈山口県〉【90,96,97,98】

✅️福田 康夫(ふくだ やすお)
〈群馬県〉【91】

✅️麻生 太郎(あそう たろう) 
〈福岡県〉【92】

✅️鳩山 由紀夫(はとやま ゆきお)
〈北海道〉 【93】

✅️菅 直人(かん なおと) 
〈東京都〉【94】

✅️野田 佳彦(のだ よしひこ) 
〈千葉県〉【95】

✅️菅 義偉 (すが よしひで)
〈神奈川県〉【99】

✅️岸田 文雄(きしだ ふみお)
〈広島県〉【100,101】 

✅️石破 茂 (いしば しげる)
〈鳥取県〉【102,103】

✅️高市 早苗(たかいち さなえ)
〈奈良県〉【104,105】

（※【 】は初代〜105代まで）

------------------------------
【参考サイト】
首相官邸ホームページ
歴代内閣 
https://t.co/hLUCWQF5lw…

図録▽歴代首相（総理大臣）の出身県 https://t.co/GatXbdzi7j…

【参考文献】
『図説 日本史通覧』（株式会社 帝国書院 2025年2月20日印刷版）",1708134757236969472,19,"{'quote_count': 0, 'retweet_count': 1, 'like_count': 18, 'reply_count': 0, 'view_count': '631'}",SHAKAIKA_CAFE,3669.0,1129.0,1302.0,78344.0,1006.0,Sat Sep 30 15:01:03 +0000 2023,☕ようこそ『社会科カフェ』へ☕【中の人】小中学部社会科塾講師→通信制高校職員(地理歴史)・モフモフキャラが好き【X・note投稿】小学生社会科＆ニュース用語解説(社会人向け)【ミッション】“社会科って楽しい、面白い、好き”と思ってくれる学生＆大人を増やしたい✨【推し】わかさ生活のブルブルくん🫐,2024046281887457700,2026-02-18 09:00:13,https://pbs.twimg.com/profile_images/2001785100544151555/0ST8LcOS_normal.jpg,https://twitter.com/SHAKAIKA_CAFE/status/2024046281887457700,,irrelevant,高市早苗及其政治立场,The post is a factual listing of historical prime ministers and does not mention or imply 高市早苗 or her political stance. It is irrelevant to the analysis.,irrelevant,Japan,Japanese educational context and language.,jp,"[36.0, 138.0]",Organization,"The account represents an educational mission with a clear role (teacher, staff) and structured content, suggesting an organization or group.",,
twitter,"@Hakonootoko 日本国内閣総理大臣
立候補者　高市　早苗　たかいち　さなえ
賛成　2952
反対　0
棄権　0",1599641916718862338,20,"{'quote_count': 0, 'retweet_count': 1, 'like_count': 18, 'reply_count': 1, 'view_count': '777'}",maseietsu1,1324.0,28.0,57.0,340.0,233.0,Mon Dec 05 05:49:03 +0000 2022,親自發帖，親自點贊，親自轉發,2003017594929131658,2025-12-22 11:09:27,https://pbs.twimg.com/profile_images/1599643047587119104/qEZxyElL_normal.jpg,https://twitter.com/maseietsu1/status/2003060307762274787,,positive,高市早苗及其政治立场,"The post explicitly shows strong support for 高市早苗 as a prime minister candidate with unanimous approval (2952 in favor, 0 against). It expresses a very positive sentiment towards her political stance.",happiness,China,Simplified Chinese language.,cn,"[35.0, 105.0]",Unknown,"The description is minimal and generic, likely an anonymous or spam-type account.",,
twitter,"国会運営が出鱈目にも程があるたかいちさなえさんと
イラン対応が結構真っ当な高市早苗総理大臣は別人（ぉ

ジキルとハイドみたいな二重人格者かな？（ぐるぐる目）",1684897270985338880,22,"{'quote_count': 0, 'retweet_count': 3, 'like_count': 17, 'reply_count': 2, 'view_count': '1213'}",ZuoTeng52389,36817.0,2350.0,1359.0,94980.0,308.0,Fri Jul 28 12:05:32 +0000 2023,"政治ネタ中心です
自民党支持者界隈4丁目あたりの人間　
大日本海洋国家主義者（似非）
準高市政権支持者
アイコンとヘッダーはAI生成です",2040215428421898657,2026-04-03 23:50:38,https://pbs.twimg.com/profile_images/1873349972860825600/1Ei79afx_normal.jpg,https://twitter.com/ZuoTeng52389/status/2040215428421898657,,negative,高市早苗及其政治立场,"The post distinguishes between two personas of 高市早苗, criticizing one as chaotic and praising the other as reasonable. The tone is sarcastic and somewhat negative, implying a duality or inconsistency in her political stance.",disgust,Japan,"The username and user description are in Japanese, indicating a high likelihood of being from Japan.",jp,"[36.0, 138.0]",Individual,"The account focuses on political topics and personal experiences, indicating an individual user.",,
twitter,久々にスプラやったら「たかいち★さなえ」って名前で利敵行為まがいのことしてるやつ来て爆笑してる　どういう国？,1894750427570454528,14,"{'quote_count': 0, 'retweet_count': 1, 'like_count': 13, 'reply_count': 0, 'view_count': '770'}",hypersonicochan,3910.0,1074.0,650.0,23230.0,361.0,Wed Feb 26 14:05:18 +0000 2025,SUPER SONICO THE ANIMATION,2027306930201653691,2026-02-27 08:56:52,https://pbs.twimg.com/profile_images/2049386416367636480/ZSfKspmn_normal.jpg,https://twitter.com/hypersonicochan/status/2027306930201653691,,irrelevant,高市早苗及其政治立场,"The post mentions a player named 'たかいち★さなえ' in a game performing suspicious actions, mocking the name and questioning the country. It does not relate to 高市早苗's political stance, so it is irrelevant.",irrelevant,Japan,Japanese anime reference.,jp,"[36.0, 138.0]",Unknown,"The account name and description reference an anime but lack personal or organizational identity, likely a fan or spam account.",,
